Média de Tempo de Execução (s);;;;
K;100000;10000000;100000000;Total Geral
1;0,120;3,767;71,055;24,981
2;0,122;3,812;56,693;20,209
4;0,122;3,800;48,075;17,333
8;0,125;3,792;44,454;16,124
16;0,125;3,946;43,779;15,950
Total Geral;0,123;3,824;52,811;18,919
