K;Tamanho;execution_time
1;10000000;3,7771118
1;10000000;3,7167704
1;10000000;3,6423103
1;10000000;3,7459015
1;10000000;3,7668581
1;10000000;3,6831959
1;10000000;3,7436937
1;10000000;3,6168937
1;10000000;3,6702276
1;10000000;3,8097473
1;10000000;3,7365931
1;10000000;3,7183699
1;10000000;3,7520708
1;10000000;3,8520914
1;10000000;3,778314
1;10000000;3,7609298
1;10000000;3,599114
1;10000000;3,7232807
1;10000000;3,7347719
1;10000000;3,7276791
1;10000000;3,7485292
1;10000000;3,7937086
1;10000000;3,8611598
1;10000000;3,7985746
1;10000000;3,7249576
1;10000000;3,7497204
1;10000000;3,7921567
1;10000000;3,6867272
1;10000000;3,7757667
1;10000000;3,8026169
1;10000000;3,7953484
1;10000000;3,7534466
1;10000000;3,7981181
1;10000000;3,759756
1;10000000;3,7043933
1;10000000;3,7298625
1;10000000;3,8376109
1;10000000;3,7614552
1;10000000;3,717807
1;10000000;3,8368659
1;10000000;3,8176295
1;10000000;3,7388695
1;10000000;3,7353277
1;10000000;3,7179692
1;10000000;4,0737789
2;10000000;3,7464777
2;10000000;3,7456393
2;10000000;3,7548953
2;10000000;3,7437942
2;10000000;3,7479388
2;10000000;4,1747052
2;10000000;4,1629782
2;10000000;3,7508795
2;10000000;3,9647595
2;10000000;4,2551788
2;10000000;3,8450195
2;10000000;3,7870793
2;10000000;3,8740082
2;10000000;3,7315657
2;10000000;3,7614445
2;10000000;3,7428697
2;10000000;3,7684253
2;10000000;3,7525016
2;10000000;3,7431768
2;10000000;3,7580067
2;10000000;3,748333
2;10000000;3,7462935
2;10000000;3,7561559
2;10000000;3,783233
2;10000000;3,7497845
2;10000000;3,7146096
2;10000000;3,7059506
2;10000000;3,7926026
2;10000000;3,7599381
2;10000000;3,7091521
2;10000000;3,7198421
2;10000000;4,0484396
2;10000000;3,7471426
2;10000000;3,7185933
2;10000000;3,7291486
2;10000000;3,7118973
2;10000000;3,7412459
2;10000000;3,7555018
2;10000000;4,6637965
2;10000000;3,9483357
2;10000000;3,8040278
2;10000000;3,7483677
2;10000000;3,7554392
2;10000000;3,7896955
2;10000000;3,7258558
2;10000000;3,7597062
2;10000000;3,7582779
2;10000000;3,7377365
